iter	Passed	Remaining
558	10107	7974
559	10117	7949
560	10126	7924
561	10138	7901
562	10147	7876
563	10157	7852
564	10168	7828
565	10183	7808
566	10195	7785
567	10206	7762
568	10216	7738
569	10226	7714
570	10236	7691
571	10246	7666
572	10257	7643
573	10267	7620
574	10277	7596
575	10288	7573
576	10300	7550
577	10309	7526
578	10320	7503
579	10329	7480
580	10343	7459
581	10356	7438
582	10390	7431
583	10422	7424
584	10436	7403
585	10450	7383
586	10464	7362
587	10475	7340
588	10487	7318
589	10501	7297
590	10516	7277
591	10525	7254
592	10536	7231
593	10548	7209
594	10557	7186
595	10568	7164
596	10584	7145
597	10595	7122
598	10605	7100
599	10617	7078
600	10630	7057
601	10640	7034
602	10650	7011
603	10660	6989
604	10669	6966
605	10687	6948
606	10699	6927
607	10709	6904
608	10725	6886
609	10735	6863
610	10747	6842
611	10762	6823
612	10772	6801
613	10784	6779
614	10794	6757
615	10802	6734
616	10816	6714
617	10827	6693
618	10841	6672
619	10850	6650
620	10863	6630
621	10877	6610
622	10896	6593
623	10925	6583
624	10951	6571
625	10968	6552
626	10979	6531
627	10989	6509
628	10998	6487
629	11009	6466
630	11018	6443
631	11030	6422
632	11040	6400
633	11054	6381
634	11063	6359
635	11076	6339
636	11087	6318
637	11096	6296
638	11108	6275
639	11124	6257
640	11133	6235
641	11146	6215
642	11158	6195
643	11168	6173
644	11178	6152
645	11188	6131
646	11197	6109
647	11207	6088
648	11216	6066
649	11227	6045
650	11240	6025
651	11249	6004
652	11261	5984
653	11274	5964
654	11289	5946
655	11299	5925
656	11310	5904
657	11321	5884
658	11335	5865
659	11370	5857
660	11389	5841
661	11426	5834
662	11451	5820
663	11470	5804
664	11486	5786
665	11500	5767
666	11510	5746
667	11521	5726
668	11531	5705
669	11540	5684
670	11551	5663
671	11564	5644
672	11573	5623
673	11584	5603
674	11601	5585
675	11613	5566
676	11623	5545
677	11633	5524
678	11643	5504
679	11655	5484
680	11669	5466
681	11680	5446
682	11700	5430
683	11716	5412
684	11733	5395
685	11750	5378
686	11765	5360
687	11792	5347
688	11804	5328
689	11824	5312
690	11847	5297
691	11875	5285
692	11922	5281
693	11943	5265
694	12046	5286
695	12089	5280
696	12161	5286
697	12195	5276
698	12248	5274
699	12291	5267
700	12357	5270
701	12399	5263
702	12447	5258
703	12527	5267
704	12563	5257
705	12679	5279
706	12789	5300
707	12910	5324
708	12949	5314
709	13103	5351
710	13132	5337
711	13215	5345
712	13322	5362
713	13343	5344
714	13532	5393
715	13665	5420
716	13759	5430
717	13814	5425
718	13860	5416
719	13892	5402
720	13957	5401
721	14067	5416
722	14109	5405
723	14142	5391
724	14178	5378
725	14213	5364
726	14241	5347
727	14275	5333
728	14295	5314
729	14333	5301
730	14357	5283
731	14377	5263
732	14396	5243
733	14423	5226
734	14445	5208
735	14461	5187
736	14479	5166
737	14499	5147
738	14525	5130
739	14546	5111
740	14572	5093
741	14601	5076
742	14624	5058
743	14649	5040
744	14668	5020
745	14690	5001
746	14713	4983
747	14737	4965
748	14762	4947
749	14782	4927
750	14837	4919
751	14862	4901
752	14880	4880
753	14899	4861
754	14923	4842
755	14945	4823
756	14960	4802
757	14976	4781
758	14995	4761
759	15020	4743
760	15056	4728
761	15076	4708
762	15093	4688
763	15114	4668
764	15140	4651
765	15156	4630
766	15168	4607
767	15195	4590
768	15216	4570
769	15246	4554
770	15267	4534
771	15284	4513
772	15309	4495
773	15334	4477
774	15347	4455
775	15366	4435
776	15388	4416
777	15410	4397
778	15433	4378
779	15453	4358
780	15465	4336
781	15482	4316
782	15499	4295
783	15524	4277
784	15558	4261
785	15592	4245
786	15610	4224
787	15630	4205
788	15648	4184
789	15670	4165
790	15683	4143
791	15697	4122
792	15712	4101
793	15725	4079
794	15738	4058
795	15750	4036
796	15777	4018
797	15791	3997
798	15805	3976
799	15816	3954
800	15834	3933
801	15845	3912
802	15862	3891
803	15876	3870
804	15889	3848
805	15902	3827
806	15913	3805
807	15926	3784
808	15939	3763
809	15953	3742
810	15973	3722
811	15995	3703
812	16015	3683
813	16040	3665
814	16080	3650
815	16100	3630
816	16112	3608
817	16125	3587
818	16138	3566
819	16153	3545
820	16174	3526
821	16200	3508
822	16217	3487
823	16232	3467
824	16243	3445
825	16257	3424
826	16270	3403
827	16288	3383
828	16304	3363
829	16317	3342
830	16329	3320
831	16348	3301
832	16359	3279
833	16374	3259
834	16387	3238
835	16407	3218
836	16421	3197
837	16434	3177
838	16445	3155
839	16457	3134
840	16470	3113
841	16484	3093
842	16501	3073
843	16525	3054
844	16555	3036
845	16575	3017
846	16598	2998
847	16622	2979
848	16636	2958
849	16650	2938
850	16663	2917
851	16675	2896
852	16687	2875
853	16703	2855
854	16721	2835
855	16738	2815
856	16753	2795
857	16767	2775
858	16781	2754
859	16794	2733
860	16805	2713
861	16824	2693
862	16838	2673
863	16849	2652
864	16863	2631
865	16877	2611
866	16890	2591
867	16901	2570
868	16926	2551
869	16941	2531
870	16955	2511
871	16973	2491
872	16994	2472
873	17015	2452
874	17044	2434
875	17063	2415
876	17084	2396
877	17104	2376
878	17117	2356
879	17129	2335
880	17146	2316
881	17160	2295
882	17175	2275
883	17195	2256
884	17218	2237
885	17234	2217
886	17252	2197
887	17265	2177
888	17286	2158
889	17297	2137
890	17308	2117
891	17322	2097
892	17342	2078
893	17357	2058
894	17373	2038
895	17387	2018
896	17400	1998
897	17414	1977
898	17425	1957
899	17438	1937
900	17459	1918
901	17477	1898
902	17489	1878
903	17510	1859
904	17555	1842
905	17576	1823
906	17600	1804
907	17616	1784
908	17629	1764
909	17644	1745
910	17667	1726
911	17683	1706
912	17696	1686
913	17709	1666
914	17727	1646
915	17741	1626
916	17753	1606
917	17769	1587
918	17782	1567
919	17796	1547
920	17810	1527
921	17820	1507
922	17832	1487
923	17851	1468
924	17868	1448
925	17883	1429
926	17897	1409
927	17912	1389
928	17925	1370
929	17945	1350
930	17959	1331
931	17972	1311
932	17989	1291
933	18000	1271
934	18018	1252
935	18050	1234
936	18075	1215
937	18106	1196
938	18127	1177
939	18148	1158
940	18176	1139
941	18211	1121
942	18230	1101
943	18242	1082
944	18254	1062
945	18267	1042
946	18285	1023
947	18299	1003
948	18316	984
949	18330	964
950	18344	945
951	18358	925
952	18371	906
953	18399	887
954	18416	867
955	18431	848
956	18444	828
957	18461	809
958	18478	790
959	18499	770
960	18513	751
961	18527	731
962	18540	712
963	18557	693
964	18582	673
965	18604	654
966	18646	636
967	18671	617
968	18694	598
969	18729	579
970	18756	560
971	18786	541
972	18807	521
973	18822	502
974	18840	483
975	18857	463
976	18872	444
977	18886	424
978	18897	405
979	18921	386
980	18938	366
981	18952	347
982	18963	327
983	18976	308
984	18989	289
985	19006	269
986	19020	250
987	19033	231
988	19045	211
989	19058	192
990	19072	173
991	19086	153
992	19104	134
993	19127	115
994	19145	96
995	19170	76
996	19197	57
997	19226	38
998	19246	19
999	19264	0
